PubchemID,Cluster
445456,1
5961,1
1110,1
6288,1
4055,1
33741,1
2481,1
60753,1
439260,1
727,1
441314,1
1990,1
2247,1
18283,1
3325,1
2911,1
9933193,1
8612,1
4369359,1
213039,1
3637,1
445238,1
449193,1
19,1
5496796,1
1944,1
5280805,1
46936196,1
445025,1
65552,1
439155,1
96,1
448585,1
342,1
5287612,1
154575,1
114683,1
6329,1
445561,1
5288437,1
6228,1
5288259,1
443200,1
65562,1
441298,1
446795,1
16842,1
444913,1
656969,1
444612,1
11987780,1
17754162,1
449223,1
4357,1
448475,1
1633,1
447340,1
6175,1
1188,1
447234,1
445155,1
223368,1
5288238,1
445328,1
24417,1
132519,1
5288123,1
100714,1
5288139,1
6323208,1
131704200,1
5288499,1
446201,1
447369,1
446994,1
978,1
81831,1
449125,1
122336,1
155448,1
6338574,1
10976469,1
131675359,1
447253,1
444182,1
5288001,1
448400,1
439162,1
644358,1
152306,1
17753903,1
447077,1
160603,1
5287417,1
101059193,1
84682,1
221493,1
445308,1
445528,1
447084,1
151483,1
10972,1
130611,1
61207,1
8955,1
1677,1
447923,1
447196,1
446491,1
447561,1
4635111,1
446414,1
10635,1
10214,1
784625,1
447229,1
1715,1
440317,1
3710,1
446102,1
5289442,1
448013,1
447955,1
444215,1
8758,1
21439,1
100016,1
449144,1
5289215,1
408285,1
444765,1
5289376,1
446998,1
1137,1
446796,1
643975,1
92199,1
11852,1
131704231,1
3713,1
11979,1
447271,1
656966,1
447569,1
7167925,1
42627031,1
4369101,1
6409,1
70,1
5280832,1
448749,1
6857384,1
449201,1
4369172,1
439186,1
17753999,1
446920,1
5462442,1
657043,1
447750,1
9305,1
448235,1
439456,1
97725,1
448267,1
1584,1
70807,1
445579,1
444053,1
39981,1
1135,1
1396,1
1543,1
13373305,1
17085,1
657038,1
444818,1
4316,1
2354,1
445940,1
448894,1
445302,1
5289415,1
97538,1
1758,1
49867291,1
347590,1
148140,1
121966,1
446122,1
5289593,1
10430,1
6503,1
9834298,1
445537,1
985,1
165196,1
6950298,1
4288,1
131704260,1
439351,1
997,1
5287706,1
1176,1
445303,1
447966,1
85466,1
644111,1
126747,1
449167,1
446300,1
5288799,1
439190,1
657140,1
637542,1
121904,1
111509,1
44308490,1
6454902,1
439553,1
446916,1
119205,1
446665,1
5280343,1
5289611,1
135,1
36,1
2230,1
193305,1
3092847,1
980,1
17754108,1
449146,1
222285,1
445888,1
448022,1
126154,1
58,1
447236,1
2196,1
5327131,1
119373,1
121892,1
164509,1
443894,1
133090,1
6603746,1
25023707,1
17414308,1
6914614,1
3547,1
9547945,1
656902,1
448968,1
15942662,1
20846113,1
5004,1
16004692,1
31553,1
131704323,1
4031,1
2466,1
175,1
581,1
1125,1
1301,1
1798,1
3367,1
3449,1
5672,1
5721,1
16533,1
93860,1
96312,1
152945,1
160051,1
219084,1
5251896,1
5479141,1
6918313,1
25077993,1
44201343,1
242,1
4688,1
11953947,1
46936260,1
444571,1
147071,1
98792,1
5280353,1
444833,1
12085802,1
131704190,1
5287971,1
5288538,1
131704203,1
444725,1
6437378,1
3000226,1
131704219,1
11968291,1
49866597,1
5791881,1
171,1
8339,1
5289457,1
131704247,1
46936694,1
448477,1
439220,1
9600404,1
131704249,1
445462,1
22556917,1
448653,1
242831,1
6323235,1
2733514,1
5287714,1
4380,1
439450,1
46936871,1
79084,1
