PubchemID	Cluster
445456	1
5961	1
1110	1
6288	1
4055	1
33741	1
2481	1
60753	1
439260	1
727	1
60750	1
5281081	1
1990	1
24763	1
6006	1
3325	1
2911	1
9933193	1
2882	1
8612	1
4369359	1
213039	1
3637	1
445238	1
449190	1
23644144	1
19	1
5496796	1
1944	1
5288385	1
46936196	1
445025	1
65552	1
439155	1
96	1
448585	1
342	1
5287612	1
154575	1
114683	1
6329	1
445561	1
5288437	1
6228	1
5288259	1
443200	1
65562	1
107758	1
441298	1
446795	1
16842	1
444913	1
9996708	1
656969	1
147071	1
444612	1
11987780	1
736715	1
17754162	1
449223	1
777	1
4357	1
448475	1
1633	1
637090	1
17753851	1
447340	1
6175	1
1188	1
447234	1
445155	1
11966124	1
223368	1
5288238	1
445328	1
24417	1
132519	1
5288123	1
100714	1
5288139	1
6323208	1
449538	1
131704200	1
5288499	1
446201	1
447369	1
131704201	1
446994	1
978	1
81831	1
449125	1
122336	1
155448	1
6338574	1
445245	1
10976469	1
131675359	1
447253	1
444182	1
5288001	1
1549107	1
439162	1
6119062	1
5311	1
152306	1
133246	1
60817	1
131704207	1
5287417	1
101059193	1
84682	1
444764	1
9578243	1
445308	1
445528	1
447084	1
151483	1
10972	1
449208	1
5326514	1
61207	1
8955	1
449409	1
1677	1
447923	1
447196	1
446491	1
82400	1
7752	1
447561	1
4635111	1
446414	1
10635	1
131704221	1
784625	1
447229	1
1715	1
440317	1
3710	1
446102	1
11740154	1
448013	1
447955	1
131704227	1
8758	1
21439	1
100016	1
449144	1
5289215	1
408285	1
444765	1
5289376	1
446998	1
1137	1
446796	1
643975	1
92199	1
11852	1
131704231	1
3713	1
6323502	1
447271	1
656966	1
447569	1
7167925	1
42627031	1
4369101	1
6409	1
70	1
5280832	1
448749	1
6857384	1
449201	1
4369172	1
688357	1
439186	1
449029	1
17753999	1
446920	1
5462442	1
657043	1
439616	1
447750	1
9305	1
448235	1
439456	1
97725	1
448267	1
1584	1
70807	1
445579	1
444053	1
39981	1
1135	1
1396	1
1543	1
46936694	1
444200	1
13373305	1
314123	1
439220	1
17085	1
657038	1
444818	1
4316	1
9600404	1
131704249	1
445462	1
5287671	1
445940	1
448894	1
445302	1
5289415	1
97538	1
1758	1
49867291	1
347590	1
148140	1
121966	1
93082	1
446122	1
5289593	1
10430	1
6503	1
9834298	1
445537	1
985	1
165196	1
6950298	1
4288	1
131704260	1
439351	1
444475	1
5287706	1
1176	1
445303	1
447966	1
85466	1
71077	1
644111	1
447945	1
126747	1
449167	1
447411	1
448017	1
5288799	1
439450	1
447152	1
5849540	1
657140	1
449534	1
1478	1
637542	1
121904	1
446221	1
44308490	1
6454902	1
9958	1
17754066	1
448926	1
439553	1
446916	1
119205	1
446665	1
175496	1
5289611	1
135	1
36	1
79143	1
123871	1
2230	1
193305	1
3092847	1
980	1
17754108	1
545	1
449146	1
222285	1
445888	1
5681	1
448022	1
126154	1
58	1
447236	1
446324	1
4369413	1
5327131	1
456214	1
5327013	1
4369477	1
5745206	1
198752	1
119373	1
121892	1
164509	1
443894	1
5329098	1
3038498	1
6603746	1
16478818	1
17414308	1
6914614	1
3547	1
9547945	1
44129612	1
46937150	1
448968	1
15942662	1
20846113	1
5004	1
3003141	1
31553	1
4850	1
131704323	1
4031	1
2466	1
160	1
581	1
1125	1
1301	1
1798	1
3367	1
5672	1
