PubchemID,Cluster
46936627,1
5960,1
1110,1
6288,1
33741,1
2481,1
60753,1
439260,1
727,1
55891,1
1990,1
2247,1
135398559,1
3325,1
2911,1
3494,1
2882,1
148192,1
8612,1
4369359,1
3637,1
17753798,1
448580,1
19,1
46936196,1
647,1
5287438,1
9896036,1
448372,1
5288259,1
13830686,1
3662,1
1502,1
656969,1
17754131,1
46936271,1
46936276,1
17754180,1
12374050,1
447340,1
453552,1
447234,1
46936316,1
445155,1
46936319,1
223368,1
5288238,1
24417,1
446978,1
5288139,1
11892832,1
46936350,1
446994,1
446833,1
81831,1
446237,1
12530,1
46936394,1
10976469,1
46936401,1
46936407,1
46936408,1
448400,1
447480,1
5311,1
135413525,1
444306,1
449633,1
453557,1
46936435,1
444764,1
5492192,1
449462,1
135398517,1
337359,1
445482,1
447196,1
5287408,1
46936516,1
446414,1
9543424,1
447537,1
447955,1
657141,1
444765,1
446998,1
123895,1
643975,1
446662,1
447478,1
447271,1
656966,1
46936601,1
5281,1
6409,1
6093202,1
46936640,1
46936644,1
448173,1
3631,1
9305,1
46936660,1
46936661,1
11206370,1
70807,1
448949,1
46936679,1
447066,1
1396,1
444200,1
314123,1
657038,1
46936701,1
4316,1
46936723,1
2354,1
136067613,1
445940,1
148140,1
136254600,1
5748376,1
985,1
4288,1
5287706,1
17753777,1
447966,1
446286,1
446277,1
46936842,1
447411,1
5287702,1
1478,1
5287890,1
5288116,1
44308490,1
2353,1
46936893,1
46936900,1
5280343,1
637517,1
447153,1
123871,1
2230,1
444569,1
3092847,1
980,1
449146,1
5287525,1
5681,1
46937002,1
7027,1
2196,1
5327131,1
456214,1
135464487,1
135464486,1
5745206,1
198752,1
119373,1
121892,1
6324604,1
164509,1
219104,1
443894,1
6603746,1
19826721,1
17414308,1
6914614,1
5288720,1
44129612,1
15942662,1
444705,1
5004,1
16004692,1
446274,2
5578,2
2088,2
4211,2
41693,2
2381,2
60815,2
214348,2
123619,2
46936234,2
6102530,2
11915,2
2605,2
1715,2
46936555,2
156126,2
46936692,2
444695,2
9834298,2
451597,2
25058136,2
185914,2
3369,3
750,3
1130,3
134601,3
6267,3
