,PubchemID,Cluster,weight
0,46936627,1,0.05226688172127201
1,5960,1,0.05226688172127201
2,1110,1,0.05226688172127201
3,6288,1,0.05226688172127201
4,33741,1,0.05226688172127201
5,2481,1,0.05226688172127201
6,60753,1,0.05226688172127201
7,439260,1,0.05226688172127201
8,727,1,0.05226688172127201
9,55891,1,0.05226688172127201
10,1990,1,0.05226688172127201
11,2247,1,0.05226688172127201
12,135398559,1,0.05226688172127201
13,3325,1,0.05226688172127201
14,2911,1,0.05226688172127201
15,3494,1,0.05226688172127201
16,2882,1,0.05226688172127201
17,148192,1,0.05226688172127201
18,8612,1,0.05226688172127201
19,4369359,1,0.05226688172127201
20,3637,1,0.05226688172127201
21,17753798,1,0.05226688172127201
22,448580,1,0.05226688172127201
23,19,1,0.05226688172127201
24,46936196,1,0.05226688172127201
25,647,1,0.05226688172127201
26,5287438,1,0.05226688172127201
27,9896036,1,0.05226688172127201
28,448372,1,0.05226688172127201
29,5288259,1,0.05226688172127201
30,13830686,1,0.05226688172127201
31,3662,1,0.05226688172127201
32,1502,1,0.05226688172127201
33,656969,1,0.05226688172127201
34,17754131,1,0.05226688172127201
35,46936271,1,0.05226688172127201
36,46936276,1,0.05226688172127201
37,17754180,1,0.05226688172127201
38,12374050,1,0.05226688172127201
39,447340,1,0.05226688172127201
40,453552,1,0.05226688172127201
41,447234,1,0.05226688172127201
42,46936316,1,0.05226688172127201
43,445155,1,0.05226688172127201
44,46936319,1,0.05226688172127201
45,223368,1,0.05226688172127201
46,5288238,1,0.05226688172127201
47,24417,1,0.05226688172127201
48,446978,1,0.05226688172127201
49,5288139,1,0.05226688172127201
50,11892832,1,0.05226688172127201
51,46936350,1,0.05226688172127201
52,446994,1,0.05226688172127201
53,446833,1,0.05226688172127201
54,81831,1,0.05226688172127201
55,446237,1,0.05226688172127201
56,12530,1,0.05226688172127201
57,46936394,1,0.05226688172127201
58,10976469,1,0.05226688172127201
59,46936401,1,0.05226688172127201
60,46936407,1,0.05226688172127201
61,46936408,1,0.05226688172127201
62,448400,1,0.05226688172127201
63,447480,1,0.05226688172127201
64,5311,1,0.05226688172127201
65,135413525,1,0.05226688172127201
66,444306,1,0.05226688172127201
67,449633,1,0.05226688172127201
68,453557,1,0.05226688172127201
69,46936435,1,0.05226688172127201
70,444764,1,0.05226688172127201
71,5492192,1,0.05226688172127201
72,449462,1,0.05226688172127201
73,135398517,1,0.05226688172127201
74,337359,1,0.05226688172127201
75,445482,1,0.05226688172127201
76,447196,1,0.05226688172127201
77,5287408,1,0.05226688172127201
78,46936516,1,0.05226688172127201
79,446414,1,0.05226688172127201
80,9543424,1,0.05226688172127201
81,447537,1,0.05226688172127201
82,447955,1,0.05226688172127201
83,657141,1,0.05226688172127201
84,444765,1,0.05226688172127201
85,446998,1,0.05226688172127201
86,123895,1,0.05226688172127201
87,643975,1,0.05226688172127201
88,446662,1,0.05226688172127201
89,447478,1,0.05226688172127201
90,447271,1,0.05226688172127201
91,656966,1,0.05226688172127201
92,46936601,1,0.05226688172127201
93,5281,1,0.05226688172127201
94,6409,1,0.05226688172127201
95,6093202,1,0.05226688172127201
96,46936640,1,0.05226688172127201
97,46936644,1,0.05226688172127201
98,448173,1,0.05226688172127201
99,3631,1,0.05226688172127201
100,9305,1,0.05226688172127201
101,46936660,1,0.05226688172127201
102,46936661,1,0.05226688172127201
103,11206370,1,0.05226688172127201
104,70807,1,0.05226688172127201
105,448949,1,0.05226688172127201
106,46936679,1,0.05226688172127201
107,447066,1,0.05226688172127201
108,1396,1,0.05226688172127201
109,444200,1,0.05226688172127201
110,314123,1,0.05226688172127201
111,657038,1,0.05226688172127201
112,46936701,1,0.05226688172127201
113,4316,1,0.05226688172127201
114,46936723,1,0.05226688172127201
115,2354,1,0.05226688172127201
116,136067613,1,0.05226688172127201
117,445940,1,0.05226688172127201
118,148140,1,0.05226688172127201
119,136254600,1,0.05226688172127201
120,5748376,1,0.05226688172127201
121,985,1,0.05226688172127201
122,4288,1,0.05226688172127201
123,5287706,1,0.05226688172127201
124,17753777,1,0.05226688172127201
125,447966,1,0.05226688172127201
126,446286,1,0.05226688172127201
127,446277,1,0.05226688172127201
128,46936842,1,0.05226688172127201
129,447411,1,0.05226688172127201
130,5287702,1,0.05226688172127201
131,1478,1,0.05226688172127201
132,5287890,1,0.05226688172127201
133,5288116,1,0.05226688172127201
134,44308490,1,0.05226688172127201
135,2353,1,0.05226688172127201
136,46936893,1,0.05226688172127201
137,46936900,1,0.05226688172127201
138,5280343,1,0.05226688172127201
139,637517,1,0.05226688172127201
140,447153,1,0.05226688172127201
141,123871,1,0.05226688172127201
142,2230,1,0.05226688172127201
143,444569,1,0.05226688172127201
144,3092847,1,0.05226688172127201
145,980,1,0.05226688172127201
146,449146,1,0.05226688172127201
147,5287525,1,0.05226688172127201
148,5681,1,0.05226688172127201
149,46937002,1,0.05226688172127201
150,7027,1,0.05226688172127201
151,2196,1,0.05226688172127201
152,5327131,1,0.05226688172127201
153,456214,1,0.05226688172127201
154,135464487,1,0.05226688172127201
155,135464486,1,0.05226688172127201
156,5745206,1,0.05226688172127201
157,198752,1,0.05226688172127201
158,119373,1,0.05226688172127201
159,121892,1,0.05226688172127201
160,6324604,1,0.05226688172127201
161,164509,1,0.05226688172127201
162,219104,1,0.05226688172127201
163,443894,1,0.05226688172127201
164,6603746,1,0.05226688172127201
165,19826721,1,0.05226688172127201
166,17414308,1,0.05226688172127201
167,6914614,1,0.05226688172127201
168,5288720,1,0.05226688172127201
169,44129612,1,0.05226688172127201
